"","geo_id","Year","ID Race","Race","Income","Household Income by Race Moe","Geography","ID Geography","case_count","hosp_count","death_count","total_hosp_incidental","time_period","Cases_Per_Thousand_Dollar_Income","Income_Level"
"76","53033007401",2019,0,"Total",78632,11449,"Census Tract 74.01, King County, WA","14000US53033007401",1208,12,0,12,"Overall",15.3627022077526,"High"
"77","53033007402",2019,0,"Total",53312,6481,"Census Tract 74.02, King County, WA","14000US53033007402",1240,26,4,13,"Overall",23.2593037214886,"High"
"78","53033007500",2019,0,"Total",67860,8888,"Census Tract 75, King County, WA","14000US53033007500",2665,37,3,27,"Overall",39.272030651341,"High"
"79","53033007600",2019,0,"Total",88525,18095,"Census Tract 76, King County, WA","14000US53033007600",1022,26,1,14,"Overall",11.5447613668455,"High"
"80","53033007700",2019,0,"Total",107736,19645,"Census Tract 77, King County, WA","14000US53033007700",1240,14,4,15,"Overall",11.5096160986114,"High"
"81","53033007800",2019,0,"Total",190804,48941,"Census Tract 78, King County, WA","14000US53033007800",1042,22,6,14,"Overall",5.46110144441416,"High"
"82","53033007900",2019,0,"Total",81834,12059,"Census Tract 79, King County, WA","14000US53033007900",1571,32,6,16,"Overall",19.1973996138524,"High"
"83","53033008001",2019,0,"Total",127607,8274,"Census Tract 80.01, King County, WA","14000US53033008001",1604,50,3,32,"Overall",12.5698433471518,"High"
"84","53033008002",2019,0,"Total",72155,27224,"Census Tract 80.02, King County, WA","14000US53033008002",949,44,6,29,"Overall",13.1522417018918,"High"
"85","53033008100",2019,0,"Total",82892,11629,"Census Tract 81, King County, WA","14000US53033008100",1567,75,18,59,"Overall",18.904116199392,"High"
"86","53033008200",2019,0,"Total",94039,8016,"Census Tract 82, King County, WA","14000US53033008200",1241,47,19,20,"Overall",13.1966524527058,"High"
"87","53033008300",2019,0,"Total",68239,16601,"Census Tract 83, King County, WA","14000US53033008300",825,27,7,18,"Overall",12.0898606368792,"High"
"88","53033008400",2019,0,"Total",69409,9113,"Census Tract 84, King County, WA","14000US53033008400",1675,29,4,19,"Overall",24.1323171346655,"High"
"89","53033008500",2019,0,"Total",62933,9963,"Census Tract 85, King County, WA","14000US53033008500",1729,74,18,55,"Overall",27.4736624664326,"High"
"90","53033008600",2019,0,"Total",60349,9410,"Census Tract 86, King County, WA","14000US53033008600",1803,40,3,18,"Overall",29.8762199870752,"High"
"91","53033008700",2019,0,"Total",96630,17581,"Census Tract 87, King County, WA","14000US53033008700",1252,29,6,16,"Overall",12.9566387250336,"High"
"92","53033008800",2019,0,"Total",134107,15063,"Census Tract 88, King County, WA","14000US53033008800",936,13,3,8,"Overall",6.9795014428777,"High"
"93","53033008900",2019,0,"Total",110313,14929,"Census Tract 89, King County, WA","14000US53033008900",1651,40,12,22,"Overall",14.9665044011132,"High"
"94","53033009000",2019,0,"Total",43406,12420,"Census Tract 90, King County, WA","14000US53033009000",1327,60,8,46,"Overall",30.5718103487997,"Medium"
"95","53033009100",2019,0,"Total",40938,6758,"Census Tract 91, King County, WA","14000US53033009100",622,41,9,17,"Overall",15.1937075577703,"Medium"
"96","53033009200",2019,0,"Total",20573,11328,"Census Tract 92, King County, WA","14000US53033009200",1263,132,17,108,"Overall",61.391143732076,"Medium"
"97","53033009300",2019,0,"Total",92347,21734,"Census Tract 93, King County, WA","14000US53033009300",1179,25,1,19,"Overall",12.767063358853,"High"
"98","53033009400",2019,0,"Total",73642,8274,"Census Tract 94, King County, WA","14000US53033009400",1872,63,5,16,"Overall",25.4202764726651,"High"
"99","53033009500",2019,0,"Total",104028,33093,"Census Tract 95, King County, WA","14000US53033009500",1698,46,5,28,"Overall",16.3225285500058,"High"
"100","53033009600",2019,0,"Total",132889,26934,"Census Tract 96, King County, WA","14000US53033009600",1434,42,19,17,"Overall",10.790960877123,"High"
"101","53033009701",2019,0,"Total",126623,12161,"Census Tract 97.01, King County, WA","14000US53033009701",1299,37,7,14,"Overall",10.2587997441223,"High"
"102","53033009702",2019,0,"Total",127727,14256,"Census Tract 97.02, King County, WA","14000US53033009702",1384,33,9,15,"Overall",10.8356103251466,"High"
"103","53033009800",2019,0,"Total",118429,13265,"Census Tract 98, King County, WA","14000US53033009800",1668,37,6,16,"Overall",14.0843881143977,"High"
"104","53033009900",2019,0,"Total",90024,11264,"Census Tract 99, King County, WA","14000US53033009900",1457,24,1,19,"Overall",16.1845730027548,"High"
"105","53033010001",2019,0,"Total",58310,10283,"Census Tract 100.01, King County, WA","14000US53033010001",1282,27,1,18,"Overall",21.9859372320357,"High"
"106","53033010002",2019,0,"Total",73180,19693,"Census Tract 100.02, King County, WA","14000US53033010002",1264,32,4,15,"Overall",17.2724788193495,"High"
"107","53033010100",2019,0,"Total",100890,22307,"Census Tract 101, King County, WA","14000US53033010100",2334,125,44,42,"Overall",23.1341064525721,"High"
"108","53033010200",2019,0,"Total",114224,18070,"Census Tract 102, King County, WA","14000US53033010200",1305,24,6,19,"Overall",11.4249194565065,"High"
"109","53033010300",2019,0,"Total",89500,19853,"Census Tract 103, King County, WA","14000US53033010300",2385,52,24,30,"Overall",26.6480446927374,"High"
"110","53033010401",2019,0,"Total",85227,20504,"Census Tract 104.01, King County, WA","14000US53033010401",1259,40,6,17,"Overall",14.7723139380713,"High"
"111","53033010402",2019,0,"Total",91429,7146,"Census Tract 104.02, King County, WA","14000US53033010402",1447,46,7,13,"Overall",15.826488313336,"High"
"112","53033010500",2019,0,"Total",97196,17419,"Census Tract 105, King County, WA","14000US53033010500",2420,46,25,26,"Overall",24.8981439565414,"High"
"113","53033010600",2019,0,"Total",109058,20263,"Census Tract 106, King County, WA","14000US53033010600",1970,32,3,20,"Overall",18.0637825744099,"High"
"114","53033010701",2019,0,"Total",72500,13193,"Census Tract 107.01, King County, WA","14000US53033010701",1163,40,4,17,"Overall",16.0413793103448,"High"
"115","53033010702",2019,0,"Total",46792,5543,"Census Tract 107.02, King County, WA","14000US53033010702",1288,58,11,23,"Overall",27.5260728329629,"Medium"
"116","53033010800",2019,0,"Total",92692,13509,"Census Tract 108, King County, WA","14000US53033010800",1412,33,3,15,"Overall",15.2332455875372,"High"
"117","53033010900",2019,0,"Total",64034,14073,"Census Tract 109, King County, WA","14000US53033010900",505,29,1,7,"Overall",7.88643533123028,"High"
"118","53033011001",2019,0,"Total",37188,14151,"Census Tract 110.01, King County, WA","14000US53033011001",1387,75,11,25,"Overall",37.29697751963,"Medium"
"119","53033011002",2019,0,"Total",48250,13491,"Census Tract 110.02, King County, WA","14000US53033011002",1331,41,6,19,"Overall",27.5854922279793,"Medium"
"120","53033011101",2019,0,"Total",55170,7754,"Census Tract 111.01, King County, WA","14000US53033011101",1718,67,15,24,"Overall",31.1401123799166,"High"
"121","53033011102",2019,0,"Total",97099,7479,"Census Tract 111.02, King County, WA","14000US53033011102",1333,49,24,24,"Overall",13.7282567276697,"High"
"122","53033011200",2019,0,"Total",53807,15901,"Census Tract 112, King County, WA","14000US53033011200",1242,49,8,19,"Overall",23.082498559667,"High"
"123","53033011300",2019,0,"Total",56402,6661,"Census Tract 113, King County, WA","14000US53033011300",2033,90,21,36,"Overall",36.0448211056346,"High"
"124","53033011401",2019,0,"Total",78806,11079,"Census Tract 114.01, King County, WA","14000US53033011401",1222,36,6,20,"Overall",15.5064335202903,"High"
"125","53033011402",2019,0,"Total",54151,7708,"Census Tract 114.02, King County, WA","14000US53033011402",1468,69,12,21,"Overall",27.1093793281749,"High"
"126","53033011500",2019,0,"Total",111528,9796,"Census Tract 115, King County, WA","14000US53033011500",1174,25,1,10,"Overall",10.52650455491,"High"
"127","53033011600",2019,0,"Total",118599,13388,"Census Tract 116, King County, WA","14000US53033011600",1595,26,11,15,"Overall",13.4486800057336,"High"
"128","53033011700",2019,0,"Total",82869,6854,"Census Tract 117, King County, WA","14000US53033011700",1724,67,17,23,"Overall",20.8039194391147,"High"
"129","53033011800",2019,0,"Total",62782,13262,"Census Tract 118, King County, WA","14000US53033011800",2267,92,14,46,"Overall",36.1090758497659,"High"
"130","53033011900",2019,0,"Total",101028,14416,"Census Tract 119, King County, WA","14000US53033011900",2356,105,19,33,"Overall",23.3202676485727,"High"
"131","53033012000",2019,0,"Total",110192,15102,"Census Tract 120, King County, WA","14000US53033012000",953,27,4,12,"Overall",8.64854072890954,"High"
"132","53033012100",2019,0,"Total",127955,23944,"Census Tract 121, King County, WA","14000US53033012100",739,22,5,10,"Overall",5.77546793794693,"High"
"133","53033020100",2019,0,"Total",115341,13499,"Census Tract 201, King County, WA","14000US53033020100",873,53,28,12,"Overall",7.56886102946914,"High"
"134","53033020200",2019,0,"Total",93542,18692,"Census Tract 202, King County, WA","14000US53033020200",1298,62,32,20,"Overall",13.8761198178358,"High"
"135","53033020300",2019,0,"Total",76352,10564,"Census Tract 203, King County, WA","14000US53033020300",1878,56,18,28,"Overall",24.5966051969824,"High"
"136","53033020401",2019,0,"Total",71184,6859,"Census Tract 204.01, King County, WA","14000US53033020401",1030,14,7,11,"Overall",14.4695437176894,"High"
"137","53033020402",2019,0,"Total",104144,11122,"Census Tract 204.02, King County, WA","14000US53033020402",1309,39,7,21,"Overall",12.5691350437855,"High"
"138","53033020500",2019,0,"Total",80517,9236,"Census Tract 205, King County, WA","14000US53033020500",1985,53,15,24,"Overall",24.6531788317995,"High"
"139","53033020600",2019,0,"Total",86991,30399,"Census Tract 206, King County, WA","14000US53033020600",973,25,3,13,"Overall",11.1850651216793,"High"
"140","53033020700",2019,0,"Total",82367,13724,"Census Tract 207, King County, WA","14000US53033020700",1089,38,3,21,"Overall",13.221314361334,"High"
"141","53033020800",2019,0,"Total",116563,11037,"Census Tract 208, King County, WA","14000US53033020800",1063,25,2,10,"Overall",9.1195319269408,"High"
"142","53033020900",2019,0,"Total",103690,17348,"Census Tract 209, King County, WA","14000US53033020900",979,31,7,12,"Overall",9.44160478348925,"High"
"143","53033021000",2019,0,"Total",98083,12317,"Census Tract 210, King County, WA","14000US53033021000",1668,58,17,22,"Overall",17.0060051181142,"High"
"144","53033021100",2019,0,"Total",84155,6045,"Census Tract 211, King County, WA","14000US53033021100",1649,56,29,24,"Overall",19.5947953181629,"High"
"145","53033021300",2019,0,"Total",85165,8726,"Census Tract 213, King County, WA","14000US53033021300",965,39,10,12,"Overall",11.3309458110726,"High"
"146","53033021400",2019,0,"Total",132292,18204,"Census Tract 214, King County, WA","14000US53033021400",858,15,2,12,"Overall",6.48565294953587,"High"
"147","53033021500",2019,0,"Total",137321,12477,"Census Tract 215, King County, WA","14000US53033021500",899,22,7,4,"Overall",6.54670443704896,"High"
"148","53033021600",2019,0,"Total",124115,18444,"Census Tract 216, King County, WA","14000US53033021600",1002,41,7,16,"Overall",8.07315795834508,"High"
"149","53033021700",2019,0,"Total",86875,11851,"Census Tract 217, King County, WA","14000US53033021700",1965,69,13,29,"Overall",22.6187050359712,"High"
"150","53033021802",2019,0,"Total",90577,19396,"Census Tract 218.02, King County, WA","14000US53033021802",1303,37,6,25,"Overall",14.3855504156684,"High"
"151","53033021803",2019,0,"Total",91780,11410,"Census Tract 218.03, King County, WA","14000US53033021803",1247,49,9,30,"Overall",13.5868380910874,"High"
"152","53033021804",2019,0,"Total",85804,19711,"Census Tract 218.04, King County, WA","14000US53033021804",1359,38,6,10,"Overall",15.8384224511678,"High"
"153","53033021903",2019,0,"Total",83938,19338,"Census Tract 219.03, King County, WA","14000US53033021903",1545,68,15,36,"Overall",18.4064428506755,"High"
"154","53033021904",2019,0,"Total",108421,9569,"Census Tract 219.04, King County, WA","14000US53033021904",1144,42,3,12,"Overall",10.5514614327483,"High"
"155","53033021905",2019,0,"Total",98815,10089,"Census Tract 219.05, King County, WA","14000US53033021905",1050,50,10,21,"Overall",10.6259171178465,"High"
"156","53033021906",2019,0,"Total",104722,14056,"Census Tract 219.06, King County, WA","14000US53033021906",860,24,5,8,"Overall",8.21221901797139,"High"
"157","53033022001",2019,0,"Total",102143,27083,"Census Tract 220.01, King County, WA","14000US53033022001",1083,86,14,35,"Overall",10.6027823737309,"High"
"158","53033022003",2019,0,"Total",117895,8898,"Census Tract 220.03, King County, WA","14000US53033022003",1011,37,6,15,"Overall",8.57542728699266,"High"
"159","53033022005",2019,0,"Total",96238,14268,"Census Tract 220.05, King County, WA","14000US53033022005",1169,41,10,20,"Overall",12.146968972755,"High"
"160","53033022006",2019,0,"Total",87969,13841,"Census Tract 220.06, King County, WA","14000US53033022006",1055,97,59,19,"Overall",11.9928611215314,"High"
"161","53033022101",2019,0,"Total",132891,13916,"Census Tract 221.01, King County, WA","14000US53033022101",941,39,4,16,"Overall",7.08099118826708,"High"
"162","53033022102",2019,0,"Total",131169,9003,"Census Tract 221.02, King County, WA","14000US53033022102",1289,35,6,23,"Overall",9.82701705433448,"High"
"163","53033022201",2019,0,"Total",112273,18722,"Census Tract 222.01, King County, WA","14000US53033022201",785,26,2,16,"Overall",6.99188584967,"High"
"164","53033022202",2019,0,"Total",105543,12788,"Census Tract 222.02, King County, WA","14000US53033022202",1518,30,10,22,"Overall",14.3827634234388,"High"
